16,19
17,14
17,84
9,89
11,8
11,10
32,78
34,68
15,52
32,35
20,59
16,51
26,93
13,68
11,1
12,54
15,30
13,16
8,22
5,77
14,92
21,55
31,69
36,93
12,1
11,57
6,48
19,99
10,88
10,96
18,72
15,71
6,32
12,55
10,36
27,71
12,78
13,28
22,55
11,80
10,91
6,84
13,33
7,87
6,89
8,24
19,35
15,76
9,21
17,10
23,37
16,5
23,80
11,34
5,49
16,3
8,8
16,88
10,66
12,54
12,29
10,77
15,87
34,5
26,33
8,12
21,86
14,69
12,87
19,29
12,38
46,95
6,21
20,62
9,41
21,48
6,52
6,43
6,68
19,96
6,42
11,97
6,37
10,100
12,7
12,42
6,48
48,86
19,50
8,40
20,64
5,31
10,47
3,66
7,25
10,52
5,75
12,12
12,24
11,87
14,81
13,90
14,31
5,42
9,17
10,50
6,59
14,78
7,18
10,74
11,26
12,99
13,74
11,78
15,80
8,10
10,14
3,14
9,63
12,95
1,60
10,11
9,34
30,43
3,38
10,27
12,66
4,50
9,32
15,67
12,7
9,23
10,81
12,72
8,78
8,34
3,61
15,92
10,41
12,66
4,78
6,53
12,58
10,90
6,44
10,64
10,65
4,87
8,72
3,51
