20,34
25,46
19,99
18,72
17,34
17,64
13,19
9,25
4,26
4,64
8,64
10,17
13,6
24,32
9,27
4,30
9,30
9,5
10,82
15,69
10,55
7,13
16,74
6,78
42,78
11,72
6,62
12,27
11,74
16,96
7,14
5,19
12,61
18,81
15,75
7,52
12,70
7,29
8,24
20,2
18,29
16,42
10,84
5,46
15,12
10,98
8,41
35,86
3,54
4,84
12,9
12,79
8,4
27,84
9,82
5,82
2,99
4,97
5,28
15,59
11,78
11,75
8,43
18,89
14,41
5,33
9,76
8,14
8,72
18,86
6,13
10,61
9,72
9,72
3,93
13,43
9,28
9,53
14,78
13,68
7,36
28,78
2,41
7,21
5,98
17,62
12,9
8,7
8,49
5,100
10,41
4,45
9,6
10,29
11,26
13,52
5,60
6,65
8,12
8,61
16,29
10,26
8,8
11,63
7,53
14,93
4,32
5,18
13,4
14,99
14,95
18,100
18,91
5,27
16,42
6,17
11,8
10,71
13,46
7,7
12,17
23,64
15,26
9,13
39,21
12,8
15,22
21,95
14,100
12,20
12,44
5,15
6,66
13,28
22,46
14,67
4,39
8,10
9,58
9,64
5,7
25,29
5,10
11,1
9,58
9,43
6,1
9,75
17,88
13,40
10,5
7,52
8,64
7,45
53,94
16,88
5,65
8,23
9,9
9,18
20,83
24,22
5,90
5,98
7,8
10,72
8,48
9,97
9,86
17,95
8,31
13,58
10,68
17,19
7,31
5,42
6,18
5,71
13,42
10,65
12,38
7,36
10,77
15,1
7,4
14,60
7,61
11,42
11,69
14,23
8,62
4,84
9,56
29,25
5,19
5,12
8,80
1,46
7,65
8,60
