48,79
40,77
25,47
17,73
19,83
30,37
19,53
16,40
15,51
19,79
16,34
18,87
9,37
13,6
13,57
17,21
27,56
9,61
5,55
16,82
12,32
16,3
19,94
48,68
27,85
13,44
14,11
9,15
22,73
13,90
9,84
10,72
10,36
14,11
18,87
11,93
13,48
11,48
19,96
18,100
14,37
8,88
11,89
7,74
10,22
15,52
21,11
18,83
11,54
13,36
5,42
17,71
45,33
17,56
23,71
10,55
14,43
7,51
13,87
8,99
9,86
17,14
24,79
10,38
8,29
10,80
9,91
30,91
8,53
8,25
3,37
10,93
5,34
5,43
6,25
1,33
9,73
7,29
8,80
10,21
7,60
8,87
8,90
8,35
16,62
15,67
8,86
8,69
5,75
4,96
18,5
17,73
6,40
9,84
6,31
7,42
14,5
11,47
5,39
8,79
20,86
11,28
5,30
43,65
10,59
9,59
9,61
5,39
7,69
7,84
5,17
28,86
5,30
17,7
20,77
7,90
6,50
16,72
11,16
5,26
16,72
10,47
16,79
9,93
12,28
8,23
12,77
14,77
8,86
5,55
30,93
5,55
9,21
9,40
2,47
5,90
5,82
14,54
4,63
7,15
7,76
3,32
8,59
10,89
7,79
8,11
5,44
11,34
10,67
7,39
7,57
5,24
14,49
11,40
6,25
7,10
7,12
11,78
12,67
6,36
6,59
7,45
8,38
13,67
9,20
8,38
7,69
7,75
9,60
12,57
9,51
29,17
6,58
6,65
7,12
12,3
18,79
15,72
9,6
13,95
8,7
12,75
8,66
12,63
9,88
19,96
7,7
10,68
6,31
5,12
18,83
5,67
10,43
7,25
6,2
14,43
9,13
4,8
15,27
8,61
